canonical_id,canonical_name,facility_address,facility_city,facility_state,facility_zip,lat,lon,geocode_source,google_lat,google_lon,source_lat,source_lon,source_name,divergence_km,address_quality,divergent
1,Abraxas Academy Detention Center,1000 Academy Drive,Morgantown,PA,19543,40.1917752,-75.915868,google_maps+vera_institute,40.1917752,-75.915868,40.19177,-75.91592,vera_institute,0.0044545944716119276,full,FALSE
3,Adams County Detention Center (Mississippi),20 Hobo Fork Rd.,Natchez,MS,39120,31.5574938,-91.2217027,preference:google_maps,31.5574938,-91.2217027,31.569175,-91.230469,vera_institute,1.5417361803382494,full,TRUE
5,Alamance County Detention Facility,109 South Maple Street,Graham,NC,27253,36.0683261,-79.40356709999999,google_maps+vera_institute,36.0683261,-79.40356709999999,36.068555,-79.402463,vera_institute,0.10244907852694791,full,FALSE
6,Albany County Jail,840 Albany Shaker Road,Albany,NY,12211,42.75141,-73.81536,preference:vera_institute,42.7068178,-73.7536695,42.75141,-73.81536,vera_institute,7.069411326556449,full,TRUE
7,Alexandria Staging Facility,96 George Thompson Dr.,Alexandria,LA,71303,31.31734179999999,-92.5361202,google_maps+vera_institute,31.31734179999999,-92.5361202,31.31723,-92.5364,vera_institute,0.02934289730587321,full,FALSE
8,Allegany County Jail,4884 State Route 19,Belmont,NY,14813,42.2127932,-78.01657519999999,google_maps+vera_institute,42.2127932,-78.01657519999999,42.21245,-78.01715,vera_institute,0.06080560909776743,full,FALSE
9,Allen County Jail,417 S. Calhoun,Ft. Wayne,IN,46802,41.08328729999999,-85.13990869999999,google_maps+vera_institute,41.08328729999999,-85.13990869999999,41.083287,-85.139909,vera_institute,4.177337618699978e-5,full,FALSE
10,Allen Parish Public Safety Complex,7340 Highway 26 West,Oberlin,LA,70655,30.624485,-92.783878,preference:google_maps,30.624485,-92.783878,30.620368,-92.756652,vera_institute,2.6451169569934083,full,TRUE
11,Anchorage Correctional Complex,1400 E. 4th Ave,Anchorage,AK,99501,61.2185041,-149.8573539,google_maps+vera_institute,61.2185041,-149.8573539,61.21838,-149.857649,vera_institute,0.020976733627585422,full,FALSE
12,Anne Arundel County Ordnance Road Correctional Center,600 E. Ordnance Road,Glen Burnie,MD,21060,39.19977069999999,-76.5940407,google_maps+vera_institute,39.19977069999999,-76.5940407,39.199695,-76.59393,vera_institute,0.012721907073168968,full,FALSE
