canonical_id,address_string,google_lat,google_lon
91,"50 County Way, Portland, ME, 04102, USA",43.6513147,-70.28180789999999
92,"1601 Broadway, Dakota City, NE, 68731, USA",42.4160837,-96.4198175
93,"111 West Commerce Street, Dallas, TX, 75202, USA",32.7780872,-96.8160791
94,"448 2nd Avenue North, Nashville, TN, 37210, USA",36.1683772,-86.7793245
95,"94 Grapevine Rd, Martinsburg, WV, 25401, USA",39.4359416,-77.95636999999999
96,"3337 Highway 144, Owensboro, KY, 42303, USA",37.7871208,-87.0702975
97,"800 West State Street, Farmington, UT, 84025, USA",40.9801077,-111.9045938
98,"2801 Jordan Road, Fort Payne, AL, 35968, USA",34.4181788,-85.7729963
100,"500 Chayney Road, Thornton, PA, 19373, USA",39.9020477,-75.5152955
101,"3130 Oakland St, Aurora, CO, 80010, USA",39.76134709999999,-104.8490165
102,"11901 E. 30th Ave, Aurora, CO, 80010, USA",39.7596321,-104.8491356
103,"203 Aspinal Ave. Po Box 3236, Hagatna, 96910, Guam",13.474307,144.7505229
105,"10250 Rancho Road, Adelanto, CA, 92301, USA",34.5592376,-117.4415063
106,"Route 2, Box 336, Watonga, OK, 73772, USA",35.8459755,-98.412496
108,"6920 Digital Rd, El Paso, TX, 79936, USA",31.7473943,-106.2840728
109,"215 West Central Street, Juneau, WI, 53039, USA",43.4084408,-88.7058622
110,"1850 Copper Loop, Las Cruces, NM, 88004, USA",32.3029629,-106.8056701
111,"829 Fieldcrest Road, Cambridge, MD, 21613, USA",38.5479445,-76.0584168
112,"220 Hodge Road, Summerville, SC, 29483, USA",33.057249,-80.221052
113,"1409 Hammond Avenue, Superior, WI, 54880, USA",46.72149479999999,-92.0982418
114,"710 South 17th St, Omaha, NE, 68102, USA",41.2530735,-95.9383692
115,"1300 TX-107, La Villa, TX, 78562, USA",26.2963533,-97.9178948
116,"446 Alta Rd, San Diego, CA, 92158, USA",32.5895269,-116.9196445
117,"702 E Broadway St, Eden, TX, 76837, USA",31.2166775,-99.8338127
