canonical_id,canonical_name,detloc,facility_type,facility_type_wiki,state,address,city,zip,county,lat,lon,aor,date_first_use,date_last_use,address_source
2055,Krome Hold Room,KROHOLD,hold_room,ICE Hold Room,FL,18201 SW 12TH ST,MIAMI,33194,DADE,25.7581461,-80.3509388,MIA,2017-07-10,2017-11-01,marshall_project
2056,Orlando Hold Room,ORLHOLD,hold_room,ICE Hold Room,FL,9403 TRADEPORT DRIVE,ORLANDO,32827,ORLANDO,28.42749625,-81.3338145,MIA,2001-01-21,2017-10-15,marshall_project
2057,Stuart Hold Room,STUHOLD,hold_room,ICE Hold Room,FL,3500 SE COMMERCE AVE,STUART,34997,MARTIN,27.155589,-80.212243,MIA,2016-09-14,2017-09-18,marshall_project
2058,Tallahassee Hold Room,TALHOLD,hold_room,ICE Hold Room,FL,1530 COMMONWEALTH BUSINESS BLVD,TALLAHASSEE,32303,LEON,30.471947,-84.354361,MIA,2016-07-29,2016-07-30,marshall_project
2059,Tampa Hold Room,TAMHOLD,hold_room,ICE Hold Room,FL,"1201 Orient Rd, Tampa, FL 33619",TAMPA,33619,HILLSBOROUGH,27.959412,-82.372276,MIA,2011-05-02,2017-10-31,marshall_project
2060,Guam ERO Hold Room,AGAHOLD,ero_hold,ICE ERO Hold Room,GU,108 Herman Cortez Ave,Hag̴ṯa,96910,GUAM,13.476607,144.747679,SFR,2002-03-24,2016-11-14,marshall_project
2061,ERO Honolulu Sub-Office Hold Room,HHWHOLD,sub_office,ICE ERO Sub-Office,HI,595 ALA MOANA BLVD,HONOLULU,96813,HONOLULU,21.299633,-157.8631238,SFR,1992-07-17,2017-09-12,marshall_project
2062,Cedar Rapids Hold Room,CRIHOLD,hold_room,ICE Hold Room,IA,"53 3rd Ave Bridge, Cedar Rapids, IA 52401",CEDAR RAPIDS,52401,LINN,41.9752949,-91.6700847,SPM,NA,NA,marshall_project
2063,Des Moines Hold Room,DSMHOLD,hold_room,ICE Hold Room,IA,"222 5th Ave, Des Moines, IA 50309",DES MOINES,50301,POLK,41.5854892,-93.6232534,SPM,2013-06-17,2017-09-30,marshall_project
2064,Sioux City Hold Room,SXCHOLD,hold_room,ICE Hold Room,IA,1400 PIERCE STREET,SIOUX CITY,51101,WOODBURY,42.505131,-96.404939,SPM,2011-08-09,2015-01-11,marshall_project
2065,Boise Hold Room,BOIHOLD,hold_room,ICE Hold Room,ID,1185 S. VINNELL WAY,BOISE,83709,ADA,43.5927664,-116.2860691,SLC,2015-05-28,2015-05-28,marshall_project
2066,Idaho Falls Hold Room,IFIHOLD,hold_room,ICE Hold Room,ID,2075 NORTH BOULEVARD,IDAHO FALLS,83401,BONNEVILLE,43.51475817,-112.0337537,SLC,NA,NA,marshall_project
2067,Twin Falls Hold Room,TFIHOLD,hold_room,ICE Hold Room,ID,2496 ADDISON AVENUE EAST,TWIN FALLS,83301,TWIN FALLS COUNTY,42.5631215,-114.4790992,SLC,2017-07-25,2017-07-25,marshall_project
2068,Broadview Service Staging,BSAHOLD,staging,ICE Staging Facility,IL,1930 BEACH STREET,BROADVIEW,60155,COOK,41.86852212,-87.86562002,CHI,2011-12-27,2017-10-09,marshall_project
2069,Rock Island Hold Room,RIIHOLD,hold_room,ICE Hold Room,IL,1317 3RD AVENUE,ROCK ISLAND,61201,ROCK ISLAND,41.50918615,-90.58073053,CHI,2011-06-07,2017-09-20,marshall_project
2070,Indianapolis Hold Room,INPHOLD,hold_room,ICE Hold Room,IN,"40 S Alabama St, Indianapolis, IN 46204",INDIANAPOLIS,46206,MARION,39.765936,-86.1535844,CHI,2010-04-12,2017-10-29,marshall_project
2071,Wichita Holdroom,WICHOLD,hold_room,ICE Hold Room,KS,217 W 3RD ST. NORTH,WICHITA,67201,SEDGWICK,37.69151228,-97.33959072,CHI,2010-10-02,2017-08-13,marshall_project
2072,Louisville Hold Room,LOUHOLD,hold_room,ICE Hold Room,KY,400 S 6TH STREET,LOUISVILLE,40202,JEFFERSON,38.25320155,-85.76107196,CHI,2014-01-09,2017-10-09,marshall_project
2073,Oakdale Holding Room,OAKHOLD,hold_room,ICE Hold Room,LA,1010 E WHATLEY ROAD,OAKDALE,71463,ALLEN,30.832183,-92.63684,NOL,1987-02-20,2016-09-15,marshall_project
2074,Shreveport Hold Room,VVSHOLD,hold_room,ICE Hold Room,LA,"400 TEXAS STREET, SUITE 900",SHREVEPORT,71101,CADDO PARISH,32.513789,-93.749198,NOL,2015-11-09,2016-02-07,marshall_project
2075,"Portland, Me Holdroom",POMHOLD,hold_room,ICE Hold Room,ME,511 NORTHWEST BROADWAY,PORTLAND,04101,CUMBERLAND,43.63491743,-70.25004189,BOS,2011-06-22,2016-02-01,marshall_project
2076,Grand Rapids Holdroom,GRMHOLD,hold_room,ICE Hold Room,MI,517 OTTAWA AVE NW,GRAND RAPIDS,49503,KENT,42.97268389,-85.67005197,DET,2014-09-17,2015-04-14,marshall_project
2077,ERO Hold Room (Springfield Mo),SPGHOLD,ero_hold,ICE ERO Hold Room,MO,2401 W. OLD ROUTE 66,STRAFFORD,65757,GREENE,37.2669575,-93.1294134,CHI,NA,NA,marshall_project
